# time	normed_dsignal
-2.048315115186517742e-06 3.808853480963316548e-03
-2.046315115243081605e-06 3.540670924435191259e-03
-2.044315115299645468e-06 3.712285146015022186e-03
-2.042315115356209331e-06 3.747758729885145284e-03
-2.040315115412773194e-06 3.411053948526929138e-03
-2.038315115469337057e-06 3.303722686976038377e-03
-2.036315115525900920e-06 3.179303800011006736e-03
-2.034315115582464783e-06 3.018970938397604574e-03
-2.032315115639028646e-06 3.070634609546141029e-03
-2.030315115695592509e-06 2.683622746783855765e-03
-2.028315115752156371e-06 2.570232433088701605e-03
-2.026315115808720234e-06 2.913607686188662230e-03
-2.024315115865284097e-06 3.293828989226489732e-03
-2.022315115921847960e-06 3.060308969452391493e-03
-2.020315115978411823e-06 3.132696022225397656e-03
-2.018315116034975686e-06 2.963766628973133616e-03
-2.016315116091539549e-06 3.014096926058360600e-03
-2.014315116148103412e-06 2.960284202543312076e-03
-2.012315116204667275e-06 3.081289558101788385e-03
-2.010315116261231138e-06 2.970911965828867962e-03
-2.008315116317795001e-06 3.181732417704952274e-03
-2.006315116374358864e-06 2.907911818912718889e-03
-2.004315116430922727e-06 2.963692195800885897e-03
-2.002315116487486589e-06 3.208085199506007044e-03
-2.000315116544050452e-06 3.426960093020814738e-03
-1.998315116600614315e-06 3.024086488752175932e-03
-1.996315116657178178e-06 3.081191120785231261e-03
-1.994315116713742041e-06 2.910802200592955968e-03
-1.992315116770305904e-06 3.248654368327153624e-03
-1.990315116826869767e-06 3.166720360420169876e-03
-1.988315116883433630e-06 3.100704548426127995e-03
-1.986315116939997493e-06 2.824496041851312905e-03
-1.984315116996561356e-06 3.142409237207793860e-03
-1.982315117053125219e-06 3.133280600137626232e-03
-1.980315117109689082e-06 3.324815075551511290e-03
-1.978315117166252945e-06 3.218098537523919004e-03
-1.976315117222816808e-06 3.021965673066022342e-03
-1.974315117279380670e-06 2.737915875310747982e-03
-1.972315117335944533e-06 2.629129009047116369e-03
-1.970315117392508396e-06 2.162554710873223259e-03
-1.968315117449072259e-06 1.878465106954300620e-03
-1.966315117505636122e-06 1.181288269221433731e-03
-1.964315117562199985e-06 6.506533463329485997e-04
-1.962315117618763848e-06 2.607876717202733258e-04
-1.960315117675327711e-06 2.377180327933990623e-04
-1.958315117731891574e-06 -3.895966968409678784e-04
-1.956315117788455437e-06 -4.693635519974346170e-04
-1.954315117845019300e-06 -8.255103473909976980e-04
-1.952315117901583163e-06 -8.687005322465265024e-04
-1.950315117958147026e-06 -8.575775086906041716e-04
-1.948315118014710889e-06 -8.373523528295901720e-04
-1.946315118071274751e-06 -5.485932805815884510e-04
-1.944315118127838614e-06 -8.318651233707928213e-05
-1.942315118184402477e-06 5.085822098173982414e-05
-1.940315118240966340e-06 5.065488171170455783e-04
-1.938315118297530203e-06 8.754919094561754590e-04
-1.936315118354094066e-06 1.020590994314017012e-03
-1.934315118410657929e-06 9.917039538012695481e-04
-1.932315118467221792e-06 1.046724753329153143e-03
-1.930315118523785655e-06 8.940303385651278412e-04
-1.928315118580349518e-06 1.337194578074611499e-03
-1.926315118636913381e-06 1.448208332591128774e-03
-1.924315118693477244e-06 1.530966682348111748e-03
-1.922315118750041107e-06 1.568987674175561066e-03
-1.920315118806604969e-06 1.758888484361405703e-03
-1.918315118863168832e-06 1.560794238643515436e-03
-1.916315118919732695e-06 1.618446776000188317e-03
-1.914315118976296558e-06 1.191495894941897596e-03
-1.912315119032860421e-06 8.669489763433101083e-04
-1.910315119089424284e-06 3.642309729317875990e-04
-1.908315119145988147e-06 2.365808871741373646e-04
-1.906315119202552010e-06 1.371637280040529435e-04
-1.904315119259115873e-06 -1.934522886603709058e-04
-1.902315119315679736e-06 -4.341960006897211495e-04
-1.900315119372243599e-06 -5.548597840905231896e-04
-1.898315119428807462e-06 -6.179432455326991282e-04
-1.896315119485371325e-06 -2.781644383117152803e-04
-1.894315119541935188e-06 -4.520843846761607204e-04
-1.892315119598499050e-06 -2.154204123161596702e-04
-1.890315119655062913e-06 -4.292872099924865324e-05
-1.888315119711626776e-06 2.328701487837492892e-05
-1.886315119768190639e-06 3.549661083721938849e-04
-1.884315119824754502e-06 6.153272874604220422e-04
-1.882315119881318365e-06 9.378140922991658451e-04
-1.880315119937882228e-06 1.042013884090393612e-03
-1.878315119994446091e-06 9.302507576617632772e-04
-1.876315120051009954e-06 1.020187698976206432e-03
-1.874315120107573817e-06 8.933978524760695372e-04
-1.872315120164137680e-06 9.062738030604105708e-04
-1.870315120220701543e-06 5.016449650323933892e-04
-1.868315120277265406e-06 2.055763680825783719e-04
-1.866315120333829269e-06 -7.661082609994208445e-06
-1.864315120390393131e-06 3.179241595367770460e-04
-1.862315120446956994e-06 1.661386183248945146e-04
-1.860315120503520857e-06 -9.515197179321704815e-05
-1.858315120560084720e-06 -2.291980793095910770e-04
-1.856315120616648583e-06 -2.262209710304383817e-06
-1.854315120673212446e-06 -2.186478872144317594e-04
-1.852315120729776309e-06 -2.344730966101110138e-05
-1.850315120786340172e-06 3.080420851550661068e-05
-1.848315120842904035e-06 -2.133707444524274906e-04
-1.846315120899467898e-06 -2.659052166063482375e-04
-1.844315120956031761e-06 1.422083414894493054e-05
-1.842315121012595624e-06 2.396378052155654042e-04
-1.840315121069159487e-06 5.234691607671985297e-04
-1.838315121125723349e-06 3.990465603065905813e-04
-1.836315121182287212e-06 2.809947836815067466e-04
-1.834315121238851075e-06 2.892112548069054943e-04
-1.832315121295414938e-06 3.324995997572184874e-04
-1.830315121351978801e-06 -1.470687688745587563e-04
-1.828315121408542664e-06 -5.548439188277603639e-04
-1.826315121465106527e-06 -1.555031185760415201e-03
-1.824315121521670390e-06 -1.818096146401220305e-03
-1.822315121578234253e-06 -2.175657743007228771e-03
-1.820315121634798116e-06 -2.306660039140122440e-03
-1.818315121691361979e-06 -2.441064895361934935e-03
-1.816315121747925842e-06 -2.327889065531063735e-03
-1.814315121804489705e-06 -2.543070758276912754e-03
-1.812315121861053568e-06 -1.976133542704521656e-03
-1.810315121917617430e-06 -1.453923537468470098e-03
-1.808315121974181293e-06 -1.117332590130424522e-03
-1.806315122030745156e-06 -8.268057666499992447e-04
-1.804315122087309019e-06 -1.427391492487027418e-04
-1.802315122143872882e-06 4.525574871039673747e-04
-1.800315122200436745e-06 1.093345925062389227e-03
-1.798315122257000608e-06 1.544498625537373254e-03
-1.796315122313564471e-06 1.832550467931694325e-03
-1.794315122370128334e-06 1.916917673718478762e-03
-1.792315122426692197e-06 2.209210288641169639e-03
-1.790315122483256060e-06 2.113969697247216391e-03
-1.788315122539819923e-06 2.119748303808103532e-03
-1.786315122596383786e-06 2.133819096598728055e-03
-1.784315122652947649e-06 1.783705854901745111e-03
