# one_x_offsets	two_x_offsets	one_amplitudes	two_amplitudes
-6.416260596088879995e-08 4.278477738895100526e-08 8.749111945094403264e-01 8.766784352366532307e-01
-1.558797529691295939e-08 -1.519330625220160569e-08 1.076502933080148994e+00 7.466211326911412760e-01
1.634859482812845099e-07 -3.957414132958353351e-08 1.024513237752272321e+00 9.907284811388189505e-01
1.633671756183861267e-07 1.091358095556647611e-09 1.299999996477836373e+00 7.874289487504312346e-01
8.191989118139707867e-08 1.784670120548304508e-07 7.000001129045743120e-01 9.608455198081311543e-01
1.389508906625143993e-07 2.037249011373732768e-07 7.000000065601250654e-01 1.126341815794336343e+00
2.040237268214679283e-06 3.883528100906622070e-08 7.803934267644621059e-01 1.269427044615694999e+00
1.609450874733242220e-07 -3.763188577503835668e-09 9.177986882785321709e-01 1.006040869845566288e+00
5.475493587061769830e-09 1.884511132629162847e-07 1.243251836892879103e+00 7.020509354997865881e-01
-1.679475217690860429e-08 2.477715172214819405e-06 1.282367608599495501e+00 7.011342800694776445e-01
-1.811118151280733128e-09 1.939910257489606448e-08 7.465906797676798989e-01 9.192030631962573306e-01
1.704664431963311313e-08 1.679293665545481546e-07 7.000017439394573548e-01 1.118747813023610593e+00
-2.162055074166914682e-08 -1.112035858126632432e-08 1.151513724459281018e+00 7.699441228604817500e-01
1.601596570787597367e-08 1.786125919970684338e-07 9.624225225363360892e-01 7.890537445834457930e-01
2.293438129675834688e-07 1.711857200563631061e-07 7.000000002420542211e-01 1.066488101527795607e+00
1.558990235383707293e-08 1.635004900510518989e-08 1.218171117504346590e+00 7.009646814445784635e-01
4.047250436571019606e-10 1.944310432633896326e-07 1.049098884194772374e+00 7.271488992710377630e-01
1.462171995641648409e-08 1.677217119683779163e-07 1.072566686776860845e+00 1.038346502338496569e+00
1.710217072525421357e-07 1.710154052895798519e-07 7.000076622458538678e-01 1.182133504583236849e+00
1.715974118590112636e-08 1.972869257528616813e-07 7.000000000000559108e-01 1.111639159162953749e+00
1.753172985063719956e-07 -1.215505798008491764e-08 7.906979509856597588e-01 1.055501781334935663e+00
2.366157341154722800e-09 1.514000243930528015e-07 8.920487754979022910e-01 1.002575544724826351e+00
1.896830248717440478e-07 -4.938536672956577231e-09 8.361134516323109889e-01 1.114658482618510860e+00
-1.278310552344470393e-08 -1.350292006758371779e-08 7.001953505728061300e-01 1.106634641865309687e+00
-8.617245190976669595e-09 -4.138826377140083696e-09 1.209888821910677148e+00 7.000170268468576262e-01
2.221130549594601688e-07 -1.205347789880527552e-08 7.000000580569727404e-01 1.129388528337449404e+00
2.321868529130708443e-07 5.259716029838126964e-09 8.560784528101741397e-01 8.928954011512475475e-01
5.881521341661385587e-09 1.627864180797869238e-07 8.040801734340714546e-01 1.122291590962987140e+00
2.066781420648485034e-07 9.393642209253631170e-09 9.288580843469336212e-01 1.024361013283850763e+00
-2.642889392127406515e-08 1.531656682813322491e-07 7.229011632670985232e-01 1.096430115386337611e+00
-2.106629156675801512e-08 -1.932315238006741156e-08 7.382831179518981601e-01 1.265705562509042981e+00
-1.348466823337922068e-08 -1.352880177484838028e-08 8.099665834790008567e-01 8.895492066689622002e-01
-8.712640825281289455e-09 -8.366641759267189479e-09 7.097985748050388288e-01 1.182381122440781640e+00
1.716742966325113921e-07 1.780254135033223465e-08 1.238666814310962039e+00 7.000000058592394936e-01
1.773501129663299336e-07 1.777751760801373821e-07 7.010448836751452806e-01 1.089810920405304362e+00
-1.304658529877663904e-08 -1.306184777747832126e-08 1.091952502498097388e+00 1.250205564991531793e+00
1.865517735503132417e-07 3.013334500468929684e-08 1.034291261800754924e+00 8.384845679957355635e-01
5.840661823844662708e-10 8.451865989459270604e-10 7.480021818924998955e-01 1.291887123775381507e+00
1.975331466875747594e-07 1.975595721369855690e-07 7.000245703449350376e-01 1.039867366153458317e+00
1.462161996260407090e-11 1.705579847075113271e-07 1.175004706601648019e+00 7.902091665841363133e-01
1.262414494138783234e-08 1.801918431433073233e-07 7.453846597416265984e-01 1.077057781840187189e+00
1.749235987919182168e-07 6.820093408296799075e-08 7.157434084418126119e-01 7.185883209304702035e-01
-9.241960959146350371e-09 -3.100507289931651433e-08 1.181449737970397429e+00 7.003910270372811775e-01
1.541390956221885231e-08 2.058576021871751718e-07 7.000000000000038414e-01 1.108034238555479556e+00
7.839479198367801400e-08 2.421161972879976933e-06 7.586526793003299796e-01 7.145932548109127369e-01
1.233329034183012178e-08 -7.941530868246351381e-09 1.280891278108759357e+00 7.171788559601437463e-01
-1.915473056092865510e-08 -2.158877351232802974e-08 9.123098862283295363e-01 1.242275730642486753e+00
1.868032689381322420e-07 1.882440096346179233e-07 1.251432626093002209e+00 7.011651824303739566e-01
9.464587566701807992e-09 2.240773859296964765e-07 1.173539576496267056e+00 8.674794012129776188e-01
2.050431800613314219e-08 1.991430748952083455e-07 9.605195841804432533e-01 7.571231690111407397e-01
1.805159097342462097e-07 2.084493467546583667e-07 7.312022630523148381e-01 1.128600233873303216e+00
1.925690241239675233e-07 1.920156845924056406e-07 7.634458514671262908e-01 1.031525659959988683e+00
1.978670717630237964e-07 1.903590268446953274e-07 7.312300680297336708e-01 1.279976984980435439e+00
3.029809167960131797e-08 2.202796817872825471e-07 1.010633876290027988e+00 8.082038004818302701e-01
5.264916233586509149e-09 1.309797536168287404e-10 1.152883325668956571e+00 7.000463459950985179e-01
-3.191650682846348552e-08 1.610532342292469341e-07 8.848880340062714733e-01 9.762219833997051177e-01
2.588075512171948148e-08 -7.379982178502389531e-11 7.051577607573245032e-01 1.184745192370270761e+00
1.415115439819561472e-08 1.557984858524028605e-07 9.830047590199679775e-01 1.119465139417500366e+00
1.443796108209848986e-07 -1.350619518982390961e-08 7.000000344562810062e-01 1.123341120420757067e+00
-2.126098016812587680e-08 -1.885698040569198042e-08 1.297890460185086692e+00 7.889093485037984577e-01
-2.566400586164533269e-10 -5.889259230220929263e-09 9.019096209420544019e-01 9.134278701680946799e-01
7.313523369884906203e-09 -1.799882152496023677e-08 8.687339153738520281e-01 1.054048568682095954e+00
1.593184326997476585e-07 2.104366041819331213e-08 1.157988675680561297e+00 7.207925630993294863e-01
2.010378641099110346e-07 2.008588499059925486e-07 1.133904853510298905e+00 7.463127331460925884e-01
1.689115286045736629e-07 -4.428431862360197122e-09 8.981320977491968893e-01 9.993017919868032450e-01
-3.177370020337437170e-08 -3.217783562356944537e-08 1.137582484585299980e+00 7.375233088141444071e-01
1.666379963108616459e-07 3.457046634266643250e-10 8.120837372455964598e-01 1.079773342376329825e+00
1.855601341740175068e-09 1.693341702581995518e-07 7.000392419901607655e-01 1.007523182518732074e+00
1.157781065000037177e-08 2.175217147709793697e-06 1.290680577179363908e+00 7.172040959639520707e-01
1.979244130815110214e-07 1.366227242248707799e-07 7.705441801688406311e-01 8.766984206504976340e-01
1.757496929556876767e-07 1.749493859541111011e-07 7.000011844746591994e-01 1.170898320582602237e+00
1.121665030622580779e-08 1.593470936224008128e-07 1.265501835992125956e+00 7.969641435899559312e-01
1.756206045911955138e-07 1.752179504011532471e-07 7.084787692118336144e-01 1.141059914386031604e+00
2.316961526239312000e-07 -1.496090675057074468e-08 7.000000238328374369e-01 9.612258106234844446e-01
-5.526542396729763125e-09 -6.261855290573294515e-09 9.035141768880488033e-01 8.040130528217515060e-01
1.580456361309763218e-08 -3.169174801084020448e-08 8.015277709552264263e-01 1.140295501206764595e+00
1.109147331351854345e-07 2.475786595556027419e-06 1.299970391388537427e+00 7.073893799446230313e-01
2.667689473648769694e-08 1.620690104685814092e-07 1.071044457094540991e+00 8.471223343594562749e-01
2.218933547233930046e-07 2.399247883775308345e-08 9.801723080191389048e-01 1.062186686933105806e+00
-1.959943451882126751e-08 -1.954683518135989519e-08 7.088259807376062760e-01 1.198720597855494452e+00
-9.029441443405646925e-09 -1.310355669925051353e-08 7.000524376288773665e-01 1.194670886706711288e+00
-3.260208514738438166e-08 2.189888605370089076e-07 8.947023937208087307e-01 1.022439103141942640e+00
-2.462205514617760560e-09 -2.588984353639207191e-09 7.137894373768823852e-01 1.256035425940534411e+00
1.460062966356119675e-06 2.341654354651336999e-10 6.999999999999999556e-01 1.293839537276198381e+00
1.864335514112167607e-07 -2.870591963142265746e-09 8.612187452025723555e-01 9.497169137332172051e-01
