# one_x_offsets_init	two_x_offsets_init	one_amplitudes_init	two_amplitudes_init
-1.606911035655228401e-08 -1.533604641510017617e-08 1.300000000000000044e+00 7.359053001328497157e-01
2.243737882840597184e-07 1.612593543290428278e-08 1.192609194174906850e+00 7.194219323115608189e-01
5.697761524442711515e-08 2.071893830593563290e-06 1.300000000000000044e+00 7.020668776465157634e-01
-6.416264514678795057e-08 4.278477752059349764e-08 8.749112462302383042e-01 1.300000000000000044e+00
5.664226102294769656e-08 4.152021905287824615e-08 1.258595727880094994e+00 7.236821620467223104e-01
1.580797515227818993e-07 -4.672011404315647498e-08 1.235685705900019915e+00 9.828611820721865344e-01
1.948139375786118291e-07 2.073170950868496795e-08 1.035261343796171962e+00 1.266656757698119806e+00
9.546617570887684649e-08 2.097182633550734852e-07 1.061891837436848229e+00 7.121773539191086355e-01
1.171821447147976869e-07 2.517219093458582396e-07 1.221035562574332545e+00 7.647681447668472909e-01
2.040237267056437537e-06 3.883531533416222140e-08 7.803939335203620153e-01 1.300000000000000044e+00
1.311627014279236078e-07 1.404417784661094293e-08 1.208472399506010042e+00 8.470311789569789918e-01
2.743489358307363440e-08 1.682121802318829610e-07 1.287798637041093208e+00 7.412240424173885955e-01
-1.699045835751838186e-08 2.474391885467664333e-06 1.300000000000000044e+00 8.677157634573778866e-01
-1.740189437809923722e-08 1.613343417362642386e-08 7.961504081564567681e-01 9.776065244139366950e-01
5.316932098490603593e-08 2.161688572493523043e-07 1.230721429331732120e+00 7.343090015572281137e-01
-3.427123445473664704e-09 -2.332359210370952945e-08 1.090229471036209707e+00 9.704453980716338801e-01
5.396560325399459254e-08 1.045780035742428328e-07 8.306539677890827367e-01 1.029329716990827315e+00
2.291729899851540802e-07 2.285094754112345496e-07 8.277401243861808311e-01 1.045335365369279401e+00
6.313140856788547954e-08 5.799013449563279407e-08 1.082723818205973743e+00 8.973019792772710668e-01
4.419546981227512262e-08 1.610169211170973251e-07 1.137034438117431545e+00 7.494641112904376623e-01
6.333001405060506672e-08 1.022706137445114828e-07 7.943320718415098902e-01 1.300000000000000044e+00
2.426688818903776936e-07 2.192168475985499271e-07 8.178221182235528852e-01 1.195326917395198363e+00
3.806527910726822265e-08 1.984348635145616057e-07 9.297496865335839189e-01 1.019597165771049641e+00
1.588583566575477592e-07 -2.208667944538015235e-08 9.911466957222438978e-01 1.017387960028969474e+00
4.076406809549045992e-08 1.744584401166570245e-07 1.300000000000000044e+00 7.007024879387951932e-01
1.095371450666939647e-07 4.257279181280096070e-08 1.242696862778192024e+00 8.301672962264335931e-01
2.241020482886954233e-08 6.088721563655973246e-09 1.044763150875307245e+00 9.369171683597333766e-01
-5.446380639070200851e-08 5.576589740361761974e-08 1.300000000000000044e+00 7.133730640683674240e-01
1.404514296835252136e-07 5.132474617398503722e-08 8.469029816076493189e-01 1.016580224029654866e+00
2.243286178410256674e-07 9.557115538438007968e-08 7.062686934710267206e-01 1.090175304923136856e+00
7.436716698640766604e-08 1.484406473703118879e-07 1.300000000000000044e+00 7.573598497003928287e-01
1.979845243793008007e-07 4.067079350099581235e-08 8.690953001855282745e-01 1.261986590141143783e+00
2.538565127483223527e-08 1.615590157937358334e-07 9.074204109820860342e-01 1.076511454889830688e+00
7.500026121078893042e-08 3.332414023738873195e-08 7.497591773227817447e-01 1.300000000000000044e+00
3.053803895431600698e-08 5.758491609492450301e-08 7.397216519993469186e-01 1.072659502960836120e+00
3.134366308161036159e-08 3.882882131126401694e-08 8.078682886811350272e-01 1.190855006663730675e+00
1.931652796289076986e-07 4.856302765360961357e-08 1.118162343327529173e+00 9.438942294572826297e-01
2.119470858879736785e-07 2.176957078715361432e-07 1.186273926314048932e+00 7.092964835880953833e-01
3.957775964148441953e-08 3.137579837928603867e-08 1.232038359924205073e+00 1.162089510046005580e+00
